100000	4.617
200000	2.972
300000	3.327
400000	2.703
500000	4.988
600000	2.596
700000	3.639
800000	2.441
900000	2.793
1000000	2.439
1100000	7.923
1200000	7.736
1300000	2.996
1400000	2.452
1500000	2.339
1600000	3.551
1700000	2.418
1800000	2.418
1900000	7.853
2000000	2.482
2100000	2.491
2200000	3.456
2300000	2.443
2400000	2.4
2500000	6.079
2600000	2.359
2700000	2.544
2800000	3.1
2900000	3.244
3000000	2.369
3100000	2.717
3200000	3.401
3300000	7.869
3400000	2.484
3500000	2.647
3600000	2.485
3700000	2.336
3800000	3.52
3900000	2.424
4000000	2.375
4100000	2.391
4200000	2.366
4300000	3.356
4400000	2.678
4500000	2.633
4600000	2.536
4700000	9.817
4800000	2.611
4900000	2.579
5000000	2.971
5100000	3.617
5200000	2.324
5300000	2.428
5400000	2.662
5500000	3.456
5600000	2.534
5700000	2.64
5800000	2.501
5900000	3.662
6000000	2.703
6100000	2.735
6200000	3.85
6300000	2.869
6400000	2.719
6500000	7.321
6600000	2.764
6700000	14.649
6800000	3.428
6900000	2.63
7000000	2.54
7100000	3.456
7200000	2.561
7300000	3.454
7400000	2.397
7500000	4.059
7600000	2.685
7700000	2.558
7800000	3.952
7900000	2.37
8000000	4.028
8100000	2.454
8200000	14.793
8300000	4.208
8400000	3.412
8500000	3.233
8600000	2.508
8700000	3.352
8800000	2.447
8900000	14.326
9000000	2.613
9100000	2.437
9200000	2.993
9300000	2.911
9400000	2.709
9500000	3.213
9600000	2.57
9700000	2.959
9800000	2.41
9900000	2.496
10000000	2.81
10100000	2.5
10200000	2.983
10300000	2.638
10400000	3.131
10500000	2.385
10600000	3.361
10700000	2.555
10800000	2.988
10900000	3.651
11000000	2.487
11100000	3.642
11200000	2.452
11300000	3.932
11400000	2.405
11500000	2.502
11600000	3.997
11700000	2.431
11800000	3.946
11900000	2.671
12000000	4.021
12100000	2.505
12200000	20.113
12300000	4.347
12400000	2.379
12500000	2.542
12600000	3.768
12700000	2.61
12800000	3.578
12900000	2.424
13000000	3.902
13100000	2.403
13200000	26.545
13300000	2.359
13400000	2.864
13500000	2.651
13600000	2.948
13700000	3.055
13800000	3.611
13900000	3.807
14000000	2.642
14100000	2.984
14200000	2.493
14300000	2.839
14400000	2.503
14500000	22.535
14600000	2.498
14700000	2.369
14800000	23.099
14900000	2.415
15000000	23.416
15100000	2.781
15200000	26.06
15300000	2.592
15400000	23.995
15500000	2.393
15600000	24.206
15700000	24.402
15800000	2.558
15900000	26.313
16000000	24.87
16100000	24.99
16200000	25.231
16300000	26.338
16400000	25.897
16500000	25.631
16600000	49.815
16700000	25.744
16800000	49.309
16900000	50.56
17000000	74.073
17100000	73.797
